,ADES FRUTAL FAMILIAR,ADES FRUTAL INDIVIDUAL,ADES LÁCTEO FAMILIAR,ADES LÁCTEO INDIVIDUAL,CAFÉ BLAK INDIVIDUAL,CIEL AGUA PURIFICADA FAMILIAR,CIEL AGUA PURIFICADA INDIVIDUAL,CIEL EXPRIM INDIVIDUAL,CIEL MINERALIZADA FAMILIAR,CIEL MINERALIZADA INDIVIDUAL,CIEL MINI INDIVIDUAL,COCA-COLA CAFÉ INDIVIDUAL,COCA-COLA ENERGY INDIVIDUAL,COCA-COLA FAMILIAR,COCA-COLA INDIVIDUAL,COCA-COLA LIGHT FAMILIAR,COCA-COLA LIGHT INDIVIDUAL,COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,COCA-COLA SIN AZÚCAR FAMILIAR,COCA-COLA SIN AZÚCAR INDIVIDUAL,DEL VALLE FAMILIAR,DEL VALLE INDIVIDUAL,DEL VALLE RESERVA FAMILIAR,DEL VALLE RESERVA INDIVIDUAL,DEL VALLE Y NADA FAMILIAR,DEL VALLE Y NADA INDIVIDUAL,DELAWARE PUNCH INDIVIDUAL,FANTA FAMILIAR,FANTA INDIVIDUAL,FRESCA FAMILIAR,FRESCA INDIVIDUAL,FRUTSI INDIVIDUAL,FUZE TEA INDIVIDUAL,GLACÉAU INDIVIDUAL,ISOLITE INDIVIDUAL,JOYA FAMILIAR,JOYA INDIVIDUAL,MANZANA LIFT FAMILIAR,MANZANA LIFT INDIVIDUAL,MIXTOS FAMILIAR,MIXTOS INDIVIDUAL,MONSTER ENERGY INDIVIDUAL,POWERADE INDIVIDUAL,PULPY INDIVIDUAL,SANTA CLARA DESLACTOSADA FAMILIAR,SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,SANTA CLARA ENTERA FAMILIAR,SANTA CLARA LIGHT FAMILIAR,SANTA CLARA SABORIZADA FAMILIAR,SANTA CLARA SABORIZADA INDIVIDUAL,SANTA CLARA SEMIDESCREMADA FAMILIAR,SENZAO INDIVIDUAL,SIDRAL MUNDET FAMILIAR,SIDRAL MUNDET INDIVIDUAL,SIERRAZUL AGUA PURIFICADA FAMILIAR,SPRITE FAMILIAR,SPRITE INDIVIDUAL,SPRITE SIN AZÚCAR FAMILIAR,SPRITE SIN AZÚCAR INDIVIDUAL,TOPO CHICO A.M. FAMILIAR,TOPO CHICO A.M. INDIVIDUAL,TOPO CHICO INDIVIDUAL,TOPO CHICO SANGRIA LIGHT INDIVIDUAL,TOPO CHICO SANGRÍA FAMILIAR,TOPO CHICO SANGRÍA INDIVIDUAL,VALLE FRUT FAMILIAR,VALLE FRUT INDIVIDUAL
ADES FRUTAL FAMILIAR,0,1,0,0,0,2,4,2,0,2,0,0,1,6,5,2,4,0,5,5,3,11,4,1,0,4,4,4,5,7,5,2,5,0,1,1,0,0,0,2,4,4,6,4,1,1,0,0,0,3,0,1,2,1,0,4,6,0,0,6,7,0,0,2,2,9,8
ADES FRUTAL INDIVIDUAL,1,0,0,0,0,16,22,10,0,1,2,0,0,18,21,19,23,0,6,27,3,25,2,0,0,12,1,4,21,16,12,10,13,10,1,4,7,0,0,8,13,26,18,6,1,1,2,3,0,4,0,0,3,13,1,7,29,0,0,15,25,0,0,0,13,20,14
ADES LÁCTEO FAMILIAR,0,0,0,0,0,4,2,2,0,0,1,1,2,5,7,3,5,0,2,2,4,7,5,0,1,5,2,5,9,5,3,3,4,3,1,2,1,0,0,1,1,4,6,3,0,1,1,0,0,3,0,0,2,2,0,1,4,0,1,8,7,0,0,0,4,5,4
ADES LÁCTEO INDIVIDUAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFÉ BLAK INDIVIDUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIEL AGUA PURIFICADA FAMILIAR,2,16,4,0,0,0,451,512,45,51,1,289,176,519,505,576,603,221,533,615,11,52,17,0,100,650,123,482,616,510,596,17,43,23,6,330,510,35,3,20,64,38,51,24,5,1,10,3,0,8,0,51,310,587,36,541,640,0,241,509,595,0,376,97,594,500,479
CIEL AGUA PURIFICADA INDIVIDUAL,4,22,2,1,0,451,0,668,56,54,7,362,213,607,557,709,791,183,643,769,11,106,23,4,176,791,157,688,828,570,702,33,94,47,6,270,448,38,1,51,106,61,119,47,6,3,17,6,0,21,1,76,522,749,97,658,809,0,272,680,751,0,270,241,710,586,674
CIEL EXPRIM INDIVIDUAL,2,10,2,0,0,512,668,0,64,60,9,408,222,622,623,727,785,183,663,756,8,94,9,1,187,770,150,744,863,590,741,44,79,17,4,325,497,38,2,44,113,56,89,46,9,3,18,7,0,12,0,60,535,763,84,681,778,0,287,730,713,0,285,258,679,609,635
CIEL MINERALIZADA FAMILIAR,0,0,0,0,0,45,56,64,0,23,0,59,39,31,32,55,60,3,43,54,0,2,1,0,28,83,58,69,73,51,72,2,1,0,0,7,43,0,0,3,3,3,3,1,0,0,1,1,0,1,0,16,57,84,0,55,58,0,48,37,58,0,0,0,0,51,33
CIEL MINERALIZADA INDIVIDUAL,2,1,0,0,0,51,54,60,23,0,0,48,23,47,40,70,67,6,54,74,0,7,4,1,14,60,43,61,75,50,63,1,4,1,0,8,65,0,0,3,2,3,6,2,0,0,3,0,0,1,0,23,61,79,1,53,59,0,32,41,42,0,0,0,0,50,50
CIEL MINI INDIVIDUAL,0,2,1,0,0,1,7,9,0,0,0,0,0,9,14,5,21,0,8,18,2,15,1,2,1,4,1,14,8,10,9,5,9,2,1,7,9,0,0,13,17,10,15,14,0,1,0,0,0,0,0,0,9,3,1,3,13,0,0,11,17,0,0,2,10,15,16
COCA-COLA CAFÉ INDIVIDUAL,0,0,1,0,0,289,362,408,59,48,0,0,151,391,361,391,406,117,393,393,4,8,3,0,114,419,113,411,453,395,445,6,10,6,3,156,312,20,0,4,13,12,9,6,2,1,1,1,0,1,0,48,312,452,25,426,428,0,176,373,437,0,171,129,393,349,335
COCA-COLA ENERGY INDIVIDUAL,1,0,2,0,0,176,213,222,39,23,0,151,0,237,224,258,261,58,246,236,3,2,4,0,81,254,56,250,254,238,254,1,2,0,1,97,166,1,0,0,9,2,2,0,2,1,1,1,0,0,0,16,181,255,35,257,256,0,104,219,266,0,84,32,213,187,209
