,ADES FRUTAL FAMILIAR,ADES FRUTAL INDIVIDUAL,ADES LÁCTEO FAMILIAR,ADES LÁCTEO INDIVIDUAL,CAFÉ BLAK INDIVIDUAL,CIEL AGUA PURIFICADA FAMILIAR,CIEL AGUA PURIFICADA INDIVIDUAL,CIEL EXPRIM INDIVIDUAL,CIEL MINERALIZADA FAMILIAR,CIEL MINERALIZADA INDIVIDUAL,CIEL MINI INDIVIDUAL,COCA-COLA CAFÉ INDIVIDUAL,COCA-COLA ENERGY INDIVIDUAL,COCA-COLA FAMILIAR,COCA-COLA INDIVIDUAL,COCA-COLA LIGHT FAMILIAR,COCA-COLA LIGHT INDIVIDUAL,COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,COCA-COLA SIN AZÚCAR FAMILIAR,COCA-COLA SIN AZÚCAR INDIVIDUAL,DEL VALLE FAMILIAR,DEL VALLE INDIVIDUAL,DEL VALLE RESERVA FAMILIAR,DEL VALLE RESERVA INDIVIDUAL,DEL VALLE Y NADA FAMILIAR,DEL VALLE Y NADA INDIVIDUAL,DELAWARE PUNCH INDIVIDUAL,FANTA FAMILIAR,FANTA INDIVIDUAL,FRESCA FAMILIAR,FRESCA INDIVIDUAL,FRUTSI INDIVIDUAL,FUZE TEA INDIVIDUAL,GLACÉAU INDIVIDUAL,ISOLITE INDIVIDUAL,JOYA FAMILIAR,JOYA INDIVIDUAL,MANZANA LIFT FAMILIAR,MANZANA LIFT INDIVIDUAL,MIXTOS FAMILIAR,MIXTOS INDIVIDUAL,MONSTER ENERGY INDIVIDUAL,POWERADE INDIVIDUAL,PULPY INDIVIDUAL,SANTA CLARA DESLACTOSADA FAMILIAR,SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,SANTA CLARA ENTERA FAMILIAR,SANTA CLARA LIGHT FAMILIAR,SANTA CLARA SABORIZADA FAMILIAR,SANTA CLARA SABORIZADA INDIVIDUAL,SANTA CLARA SEMIDESCREMADA FAMILIAR,SENZAO INDIVIDUAL,SIDRAL MUNDET FAMILIAR,SIDRAL MUNDET INDIVIDUAL,SIERRAZUL AGUA PURIFICADA FAMILIAR,SPRITE FAMILIAR,SPRITE INDIVIDUAL,SPRITE SIN AZÚCAR FAMILIAR,SPRITE SIN AZÚCAR INDIVIDUAL,TOPO CHICO A.M. FAMILIAR,TOPO CHICO A.M. INDIVIDUAL,TOPO CHICO INDIVIDUAL,TOPO CHICO SANGRIA LIGHT INDIVIDUAL,TOPO CHICO SANGRÍA FAMILIAR,TOPO CHICO SANGRÍA INDIVIDUAL,VALLE FRUT FAMILIAR,VALLE FRUT INDIVIDUAL
ADES FRUTAL FAMILIAR,0,4,12,0,0,17,28,15,0,2,2,3,4,26,23,22,28,0,22,29,18,24,18,4,26,25,8,28,27,28,27,14,25,8,8,11,11,0,0,5,9,32,41,22,8,6,13,5,0,13,0,3,24,23,3,23,29,0,8,33,35,0,0,7,26,31,28
ADES FRUTAL INDIVIDUAL,4,0,15,0,0,29,40,28,0,1,2,5,3,49,47,45,60,0,22,51,13,49,13,2,13,31,9,18,42,37,41,20,35,11,4,7,11,0,0,14,24,54,41,14,5,6,11,7,0,16,0,1,24,31,3,31,60,0,5,39,51,0,1,3,34,42,39
ADES LÁCTEO FAMILIAR,12,15,0,0,0,17,27,18,0,1,1,4,6,21,23,21,29,1,19,21,18,23,29,1,16,24,4,26,28,25,33,16,25,11,3,8,11,0,0,3,5,19,23,20,13,14,20,12,0,22,0,2,17,20,0,24,28,0,12,32,32,0,0,10,29,25,27
ADES LÁCTEO INDIVIDUAL,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1
CAFÉ BLAK INDIVIDUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIEL AGUA PURIFICADA FAMILIAR,17,29,17,0,0,0,797,922,111,106,5,597,367,912,922,1100,1173,383,1022,1156,72,129,92,4,348,1220,337,950,1194,990,1169,86,124,58,24,577,851,46,9,28,101,105,127,81,54,20,58,33,0,58,0,85,666,1141,52,1012,1207,28,502,1015,1123,0,594,168,980,864,886
CIEL AGUA PURIFICADA INDIVIDUAL,28,40,27,1,0,797,0,1141,109,102,13,657,403,1000,1011,1224,1362,261,1121,1311,63,217,89,5,423,1333,359,1226,1443,1021,1267,120,219,80,32,439,696,51,3,81,186,156,227,112,49,30,68,33,1,70,1,118,906,1292,140,1125,1427,17,484,1204,1302,0,371,350,1065,981,1088
CIEL EXPRIM INDIVIDUAL,15,28,18,0,0,922,1141,0,130,122,13,681,393,1065,1065,1230,1403,271,1131,1313,59,201,86,5,468,1365,394,1299,1427,1074,1302,120,195,40,26,505,764,54,3,74,175,143,189,135,56,26,66,38,0,57,0,108,945,1288,121,1200,1364,21,550,1251,1284,0,382,370,1002,1001,1029
CIEL MINERALIZADA FAMILIAR,0,0,0,0,0,111,109,130,0,53,2,107,75,77,85,114,120,3,97,104,11,18,6,3,76,159,106,149,157,117,151,19,16,13,0,8,62,0,0,3,5,22,12,18,14,0,11,5,0,11,0,38,122,167,0,121,134,12,78,105,115,0,0,0,0,105,80
CIEL MINERALIZADA INDIVIDUAL,2,1,1,0,0,106,102,122,53,0,1,93,45,102,90,139,132,8,131,143,6,12,8,2,59,131,75,123,139,104,129,7,12,5,0,8,91,0,0,4,3,11,10,7,5,1,9,2,1,3,0,40,119,154,1,114,122,22,48,103,98,0,0,0,0,103,83
