,ADES FRUTAL FAMILIAR,ADES FRUTAL INDIVIDUAL,ADES LÁCTEO FAMILIAR,ADES LÁCTEO INDIVIDUAL,CAFÉ BLAK INDIVIDUAL,CIEL AGUA PURIFICADA FAMILIAR,CIEL AGUA PURIFICADA INDIVIDUAL,CIEL EXPRIM INDIVIDUAL,CIEL MINERALIZADA FAMILIAR,CIEL MINERALIZADA INDIVIDUAL,CIEL MINI INDIVIDUAL,COCA-COLA CAFÉ INDIVIDUAL,COCA-COLA ENERGY INDIVIDUAL,COCA-COLA FAMILIAR,COCA-COLA INDIVIDUAL,COCA-COLA LIGHT FAMILIAR,COCA-COLA LIGHT INDIVIDUAL,COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,COCA-COLA SIN AZÚCAR FAMILIAR,COCA-COLA SIN AZÚCAR INDIVIDUAL,DEL VALLE FAMILIAR,DEL VALLE INDIVIDUAL,DEL VALLE RESERVA FAMILIAR,DEL VALLE RESERVA INDIVIDUAL,DEL VALLE Y NADA FAMILIAR,DEL VALLE Y NADA INDIVIDUAL,DELAWARE PUNCH INDIVIDUAL,FANTA FAMILIAR,FANTA INDIVIDUAL,FRESCA FAMILIAR,FRESCA INDIVIDUAL,FRUTSI INDIVIDUAL,FUZE TEA INDIVIDUAL,GLACÉAU INDIVIDUAL,ISOLITE INDIVIDUAL,JOYA FAMILIAR,JOYA INDIVIDUAL,MANZANA LIFT FAMILIAR,MANZANA LIFT INDIVIDUAL,MIXTOS FAMILIAR,MIXTOS INDIVIDUAL,MONSTER ENERGY INDIVIDUAL,POWERADE INDIVIDUAL,PULPY INDIVIDUAL,SANTA CLARA DESLACTOSADA FAMILIAR,SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,SANTA CLARA ENTERA FAMILIAR,SANTA CLARA LIGHT FAMILIAR,SANTA CLARA SABORIZADA FAMILIAR,SANTA CLARA SABORIZADA INDIVIDUAL,SANTA CLARA SEMIDESCREMADA FAMILIAR,SENZAO INDIVIDUAL,SIDRAL MUNDET FAMILIAR,SIDRAL MUNDET INDIVIDUAL,SIERRAZUL AGUA PURIFICADA FAMILIAR,SPRITE FAMILIAR,SPRITE INDIVIDUAL,SPRITE SIN AZÚCAR FAMILIAR,SPRITE SIN AZÚCAR INDIVIDUAL,TOPO CHICO A.M. FAMILIAR,TOPO CHICO A.M. INDIVIDUAL,TOPO CHICO INDIVIDUAL,TOPO CHICO SANGRIA LIGHT INDIVIDUAL,TOPO CHICO SANGRÍA FAMILIAR,TOPO CHICO SANGRÍA INDIVIDUAL,VALLE FRUT FAMILIAR,VALLE FRUT INDIVIDUAL
ADES FRUTAL FAMILIAR,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,1,3,0,1,2,2,2,1,0,1,2,0,1,0,1,2,2,6,0,1,0,0,0,0,0,0,4,0,1,0,1,3,1,0,3,0,0,3,2,0,2,1,0,0,3,1,0,0,1,2,1,0
ADES FRUTAL INDIVIDUAL,0,0,1,0,0,3,4,4,0,0,0,0,0,2,0,5,11,0,1,7,0,4,2,0,0,1,0,1,2,2,2,2,3,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,5,0,0,0,2,2,3
ADES LÁCTEO FAMILIAR,1,1,0,0,0,1,4,2,0,0,0,0,1,0,0,1,1,0,1,2,2,0,1,0,0,5,0,2,2,1,0,2,1,1,0,0,0,0,0,0,0,1,1,2,4,2,3,2,0,2,0,0,1,2,0,2,2,0,0,2,0,0,0,1,2,0,5
ADES LÁCTEO INDIVIDUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFÉ BLAK INDIVIDUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIEL AGUA PURIFICADA FAMILIAR,1,3,1,0,0,0,54,76,4,13,1,35,30,8,13,72,67,32,48,57,8,7,8,0,25,109,18,77,104,59,103,7,13,3,4,29,46,2,0,0,6,6,7,4,8,3,8,4,0,9,0,7,42,85,5,63,78,1,42,45,66,0,35,8,53,77,72
CIEL AGUA PURIFICADA INDIVIDUAL,3,4,4,0,0,54,0,57,8,4,1,62,36,11,14,62,56,17,49,48,7,14,3,0,28,81,22,67,82,41,59,8,8,2,4,21,33,3,0,4,11,11,16,6,3,3,1,1,0,2,0,7,39,95,5,44,71,2,35,40,47,0,32,14,62,79,77
CIEL EXPRIM INDIVIDUAL,2,4,2,0,0,76,57,0,5,7,1,49,27,11,10,70,74,22,59,63,2,24,4,0,38,94,29,105,109,49,80,10,16,5,2,21,40,2,0,6,18,11,13,13,5,0,3,3,0,8,0,4,76,97,3,60,105,2,40,62,88,0,33,27,54,79,75
CIEL MINERALIZADA FAMILIAR,0,0,0,0,0,4,8,5,0,6,0,3,6,1,2,6,8,1,6,7,0,1,1,0,4,11,4,9,17,9,10,1,0,1,0,0,6,0,0,0,0,0,0,1,2,0,4,1,0,0,0,2,7,5,0,4,8,0,9,3,5,0,0,0,0,4,5
CIEL MINERALIZADA INDIVIDUAL,0,0,0,0,0,13,4,7,6,0,1,5,1,0,2,17,11,0,4,9,0,0,0,0,2,8,9,12,11,10,8,0,2,0,0,1,6,0,0,0,0,2,3,0,0,0,0,0,0,1,0,1,5,13,0,10,14,0,2,1,5,0,0,0,0,6,1
CIEL MINI INDIVIDUAL,0,0,0,0,0,1,1,1,0,1,0,1,0,0,2,1,2,0,2,3,0,1,3,1,0,1,0,0,1,1,0,2,3,0,0,1,2,0,0,1,1,1,4,1,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,2,5
COCA-COLA CAFÉ INDIVIDUAL,0,0,0,0,0,35,62,49,3,5,1,0,6,6,4,57,37,12,45,42,0,2,3,0,21,68,29,55,58,48,60,4,2,0,1,13,16,0,0,0,2,3,0,3,1,0,1,1,0,1,0,3,54,54,0,48,57,0,23,39,49,0,6,10,36,41,26
COCA-COLA ENERGY INDIVIDUAL,0,0,1,0,0,30,36,27,6,1,0,6,0,5,3,33,28,5,27,28,1,2,1,0,11,29,6,37,37,26,29,1,0,0,1,12,14,0,0,0,1,2,1,1,0,0,0,0,0,1,0,3,25,27,2,31,36,0,15,23,30,0,5,2,23,32,9
